node1; node2; key; weight; label; text1; text2
e2f3be5793a2701b0da07d957fbdf5da;d24070111d9dac886b5564f7ea1dd599;ocr;0;;;;
e2f3be5793a2701b0da07d957fbdf5da;07f1d7ece3df82e329950c06e025b7bd;full_image_query;0;;;;
e2f3be5793a2701b0da07d957fbdf5da;07f1d7ece3df82e329950c06e025b7bd;related_text;0;;;;
e2f3be5793a2701b0da07d957fbdf5da;07f1d7ece3df82e329950c06e025b7bd;subimage;1483.6142221841433;;;;
e2f3be5793a2701b0da07d957fbdf5da;07f1d7ece3df82e329950c06e025b7bd;ocr;0;;;;
e2f3be5793a2701b0da07d957fbdf5da;f56d8fb2d3f3464ea5a9929caacea070;full_image_query;0;;;;
e2f3be5793a2701b0da07d957fbdf5da;f56d8fb2d3f3464ea5a9929caacea070;related_text;0.3125;;;;
e2f3be5793a2701b0da07d957fbdf5da;f56d8fb2d3f3464ea5a9929caacea070;subimage;0;;;;
e2f3be5793a2701b0da07d957fbdf5da;f56d8fb2d3f3464ea5a9929caacea070;ocr;0;;;;
e2f3be5793a2701b0da07d957fbdf5da;535becd715003830b13edca7cdbb59a0;full_image_query;0;;;;
e2f3be5793a2701b0da07d957fbdf5da;535becd715003830b13edca7cdbb59a0;related_text;0.3125;;;;
e2f3be5793a2701b0da07d957fbdf5da;535becd715003830b13edca7cdbb59a0;subimage;0;;;;
e2f3be5793a2701b0da07d957fbdf5da;535becd715003830b13edca7cdbb59a0;ocr;0;;;;
e2f3be5793a2701b0da07d957fbdf5da;5c8c9ddc9a5c90ae6a563bdfd1f77fb5;full_image_query;0;;;;
e2f3be5793a2701b0da07d957fbdf5da;5c8c9ddc9a5c90ae6a563bdfd1f77fb5;related_text;0;;;;
e2f3be5793a2701b0da07d957fbdf5da;5c8c9ddc9a5c90ae6a563bdfd1f77fb5;subimage;1297.0250478132452;;;;
e2f3be5793a2701b0da07d957fbdf5da;5c8c9ddc9a5c90ae6a563bdfd1f77fb5;ocr;0;;;;
e2f3be5793a2701b0da07d957fbdf5da;909fff9d838b45089553ee0534c70e0c;full_image_query;0;;;;
e2f3be5793a2701b0da07d957fbdf5da;909fff9d838b45089553ee0534c70e0c;related_text;0;;;;
e2f3be5793a2701b0da07d957fbdf5da;909fff9d838b45089553ee0534c70e0c;subimage;1123.3268666762335;;;;
e2f3be5793a2701b0da07d957fbdf5da;909fff9d838b45089553ee0534c70e0c;ocr;0;;;;
e2f3be5793a2701b0da07d957fbdf5da;7895f713e1b12f0ef1cf80700777c1f4;full_image_query;0;;;;
e2f3be5793a2701b0da07d957fbdf5da;7895f713e1b12f0ef1cf80700777c1f4;related_text;0;;;;
e2f3be5793a2701b0da07d957fbdf5da;7895f713e1b12f0ef1cf80700777c1f4;subimage;1310.048452059571;;;;
e2f3be5793a2701b0da07d957fbdf5da;7895f713e1b12f0ef1cf80700777c1f4;ocr;0;;;;
e2f3be5793a2701b0da07d957fbdf5da;684851d36c3b51019ef143a0643fe68e;full_image_query;0;;;;
e2f3be5793a2701b0da07d957fbdf5da;684851d36c3b51019ef143a0643fe68e;related_text;0;;;;
e2f3be5793a2701b0da07d957fbdf5da;684851d36c3b51019ef143a0643fe68e;subimage;1185.2655609725273;;;;
e2f3be5793a2701b0da07d957fbdf5da;684851d36c3b51019ef143a0643fe68e;ocr;0;;;;
9797edcec5b2772ff1f9a779e7a68baf;ae917e35effce2eeb6e3c9d03f8f3f34;full_image_query;0;;;;
9797edcec5b2772ff1f9a779e7a68baf;ae917e35effce2eeb6e3c9d03f8f3f34;related_text;0.35;;;;
9797edcec5b2772ff1f9a779e7a68baf;ae917e35effce2eeb6e3c9d03f8f3f34;subimage;0;;;;
9797edcec5b2772ff1f9a779e7a68baf;ae917e35effce2eeb6e3c9d03f8f3f34;ocr;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;9797edcec5b2772ff1f9a779e7a68baf;full_image_query;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;9797edcec5b2772ff1f9a779e7a68baf;related_text;0.35;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;9797edcec5b2772ff1f9a779e7a68baf;subimage;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;9797edcec5b2772ff1f9a779e7a68baf;ocr;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;ba7e656b478bfd2f4bb921bdb7390c4d;full_image_query;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;ba7e656b478bfd2f4bb921bdb7390c4d;related_text;0.5;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;ba7e656b478bfd2f4bb921bdb7390c4d;subimage;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;ba7e656b478bfd2f4bb921bdb7390c4d;ocr;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;ce459b1fffa366f3ec2e44d7c0db5f02;full_image_query;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;ce459b1fffa366f3ec2e44d7c0db5f02;related_text;0.5;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;ce459b1fffa366f3ec2e44d7c0db5f02;subimage;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;ce459b1fffa366f3ec2e44d7c0db5f02;ocr;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;a024a6593be5a9f2b2a1f3c123e3fdd4;full_image_query;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;a024a6593be5a9f2b2a1f3c123e3fdd4;related_text;0.5;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;a024a6593be5a9f2b2a1f3c123e3fdd4;subimage;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;a024a6593be5a9f2b2a1f3c123e3fdd4;ocr;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;c77593f4e3346762065b80190616298a;full_image_query;0;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;c77593f4e3346762065b80190616298a;related_text;0.5;;;;
ae917e35effce2eeb6e3c9d03f8f3f34;c77593f4e3346762065b80190616298a;subimage;0;;;;
